Site,Patch_Num.,Treatment,Germ_Tot,4/9/23,4/11/23,4/13/23,4/15/23,4/17/23,4/19/23,4/21/23,,,,,,,,,,,,,,,
WFU,1,low,123,0,0,23,58,28,11,3,,,,,,,,,,,,,,,
WFU,2,low,163,0,0,5,71,46,25,16,,,,,,,,,,,,,,,
WFU,3,low,99,0,0,8,46,31,10,4,,,,,,,,,,,,,,,
WFU,4,low,56,0,0,4,6,20,11,15,,,,,,,,,,,,,,,
WFU,5,low,2,0,0,0,0,1,1,0,,,,,,,,,,,,,,,
CRU,1,low,52,0,0,5,20,16,7,4,,,,,,,,,,,,,,,
CRU,2,low,32,0,0,0,16,12,4,0,,,,,,,,,,,,,,,
CRU,3,low,44,0,0,3,24,8,7,2,,,,,,,,,,,,,,,
CRU,4,low,60,0,0,1,15,34,7,3,,,,,,,,,,,,,,,
CRU,5,low,179,0,0,0,78,69,14,18,,,,,,,,,,,,,,,
GK,1,high,109,0,0,2,39,22,23,23,,,,,,,,,,,,,,,
GK,2,high,4,0,0,0,0,2,2,0,,,,,,,,,,,,,,,
GK,3,high,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
GK,4,high,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
GK,5,high,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
GH,1,low,228,0,0,4,61,70,71,22,,,,,,,,,,,,,,,
GH,2,low,16,0,0,1,6,6,2,1,,,,,,,,,,,,,,,
GH,3,low,79,0,0,0,23,28,15,13,,,,,,,,,,,,,,,
GH,4,low,133,0,0,9,60,53,7,4,,,,,,,,,,,,,,,
GH,5,low,382,0,0,73,228,52,11,18,,,,,,,,,,,,,,,
ELJ,1,high,186,0,0,0,72,76,28,10,,,,,,,,,,,,,,,
ELJ,2,high,134,0,0,8,76,39,8,3,,,,,,,,,,,,,,,
ELJ,3,high,110,0,0,6,60,25,13,6,,,,,,,,,,,,,,,
ELJ,4,high,184,0,0,14,107,24,26,13,,,,,,,,,,,,,,,
ELJ,5,high,384,0,0,142,187,28,17,10,,,,,,,,,,,,,,,
GD,1,low,138,0,0,8,45,62,17,6,,,,,,,,,,,,,,,
GD,2,low,80,0,0,11,49,12,4,4,,,,,,,,,,,,,,,
GD,3,low,94,0,0,13,35,36,8,2,,,,,,,,,,,,,,,
GD,4,low,9,0,0,4,4,0,1,0,,,,,,,,,,,,,,,
GD,5,low,36,0,0,11,15,5,5,0,,,,,,,,,,,,,,,
MZW,1,high,84,0,0,2,62,8,10,2,,,,,,,,,,,,,,,
MZW,2,high,6,0,0,0,2,4,0,0,,,,,,,,,,,,,,,
MZW,3,high,125,0,0,22,58,23,16,6,,,,,,,,,,,,,,,
MZW,4,high,48,0,0,0,26,15,3,4,,,,,,,,,,,,,,,
MZW,5,high,24,0,0,7,9,7,1,0,,,,,,,,,,,,,,,
MZ,1,high,5,0,0,0,0,3,1,1,,,,,,,,,,,,,,,
MZ,2,high,2,0,0,1,1,0,0,0,,,,,,,,,,,,,,,
MZ,3,high,13,0,0,0,8,4,1,0,,,,,,,,,,,,,,,
MZ,4,high,282,0,0,115,102,51,9,5,,,,,,,,,,,,,,,
MZ,5,high,369,0,0,14,222,89,34,10,,,,,,,,,,,,,,,
Sum,,,4075,0,0,516,1891,1010,430,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germs/Patch,,,101.875,0,0,12.9,47.275,25.25,10.75,5.7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
