Site,Treatment,Plants,avgDmg,resprouts,dead,resproutsPer,deadPer
FL,high,20,2.65,3,0,0.15,0
ELJ,high,31,2.173913043,3,1,0.1304347826,0.03225806452
MZW,high,20,2.5,3,0,0.15,0
NLJ,high,28,2.608695652,9,1,0.3913043478,0.03571428571
MLJ,high,15,3,5,0,0.3333333333,0
IC,high,16,3,6,0,0.375,0
GFV,high,9,1.666666667,1,0,0.1111111111,0
GK,high,15,1.933333333,1,0,0.06666666667,0
MZ,high,24,2.304347826,10,0,0.4347826087,0
AGE,high,19,2.105263158,5,0,0.2631578947,0
GIW,low,15,3.066666667,1,2,0.06666666667,0.1333333333
ISU,low,14,2.785714286,4,1,0.2857142857,0.07142857143
GD,low,22,2.5,5,0,0.2272727273,0
SP,low,23,2.130434783,2,0,0.08695652174,0
CRU,low,17,2.176470588,3,0,0.1764705882,0
GH,low,21,2.80952381,7,0,0.3333333333,0
JI,low,13,3.230769231,4,0,0.3076923077,0
GIE,low,20,2.8,4,0,0.2,0
WFU,low,26,2.217391304,8,2,0.347826087,0.07692307692
TP,low,20,1.8,6,0,0.3,0
