fid,code,trmt_yrs,trmt_class,mgmt,_count,area,cover
101,122,0,Low,Private,16009,627514.677,2.55117539
93,126,0,Low,Private,19988,267255.392,7.47898849
90,128,0,Low,Private,84925,928006.14,9.15134031
103,130,0,Low,Private,37181,2131796.51,1.74411581
106,213,0,Low,Other,33525,286321.969,11.7088466
89,401,0,Low,Private,20702,179541.093,11.530508
98,402,0,Low,Private,50426,833368.95,6.05086139
33,522,0,Low,Private,127092,951969.204,13.3504319
48,612,0,Low,Private,1681,944770.036,0.1779269
59,701,0,Low,Private,51838,503146.18,10.3027713
61,721,0,Low,Private,7113,581382.542,1.22346295
9,CRU,0,Low,DFW,21082,1564786.12,1.34727678
13,ISU,0,Low,DFW,80306,1907255.14,4.21055361
11,SP,0,Low,Private,6732,252917.703,2.66173539
2,WFU,0,Low,DFW,98576,682656.602,14.4400567
96,105,1,Low,Private,101960,557689.361,18.2825794
95,106,1,Low,Private,4187,80504.4423,5.20095523
72,123,1,Low,Private,212131,1123895.03,18.8746275
73,211,1,Low,DWR,124256,1010910.87,12.2914891
28,507,1,Low,Private,4002,224819.874,1.78009174
29,514,1,Low,Private,60839,1236091.48,4.9218849
37,530,1,Low,Private,8756,432105.639,2.02635634
45,609,1,Low,Private,942,416437.839,0.22620423
5,GD,1,Low,Private,11023,682997.175,1.6139159
74,HS,1,Low,DFW,563722,3264676.28,17.2673169
92,117,2,Low,Private,170147,1191270.93,14.2828131
71,124,2,Low,Private,165820,2399537.97,6.91049702
87,403,2,Low,Private,144027,2121991.19,6.78735146
88,404,2,Low,Private,55305,2307235.29,2.39702471
36,JI,2,Low,DFW,800433,6185702.01,12.9400511
100,112,3,Low,Private,226160,820923.078,27.5494752
69,132,3,Low,Private,8873,307637.994,2.88423413
32,536,3,Low,Private,3385,374385.632,0.90414795
79,631,3,Low,DWR,54810,2575167.9,2.12840491
14,DK/BF,3,Low,Private,10899,1730814.71,0.62970345
17,GI,3,Low,DFW,3273587,34206354.7,9.57011359
97,125,4,Mid,Private,61336,862859.821,7.10845476
70,133,4,Mid,Private,89855,3732839.23,2.40714894
81,411,4,Mid,Private,35786,751661.726,4.76091821
18,426,4,Mid,Private,71414,958133.689,7.45344839
34,520,4,Mid,Private,44395,3446616.67,1.28807478
44,608,4,Mid,Private,3677,311368.658,1.18091526
47,618,4,Mid,Private,20808,1989046.48,1.0461294
62,707,4,Mid,Private,30109,1462828.69,2.05827245
83,410,5,Mid,Private,58019,1021115.12,5.68192548
42,532,5,Mid,Private,6896,382964.842,1.80068749
107,601,5,Mid,Private,3153,852414.79,0.36989034
43,607,5,Mid,Private,1462,239668.988,0.610008
64,706,5,Mid,Private,18846,368410.932,5.11548338
102,131,6,Mid,Private,30856,254109.505,12.1427965
86,406,6,Mid,Private,122333,1708551.63,7.16004118
63,705,6,Mid,Private,36905,1699976.07,2.17091291
99,113,7,Mid,Private,63389,495000.259,12.8058519
49,621,7,Mid,Private,4811,450914.886,1.06694193
53,623,7,Mid,Private,26016,395956.731,6.57041488
54,633,7,Mid,Private,13113,354134.568,3.70282971
94,118,8,Mid,Private,39256,340568.524,11.5266084
82,412,8,Mid,Private,13349,571805.927,2.33453334
68,415,8,Mid,Private,61106,1700977.33,3.59240532
27,508,8,Mid,Private,3788,183091.661,2.06890908
30,515,8,Mid,DFW,55133,762457.952,7.23095613
40,518,8,Mid,DFW,17539,559109.567,3.13695223
23,538,8,Mid,Private,27417,228529.659,11.9971299
46,610,8,Mid,Private,54632,1129024.26,4.83886856
50,619,8,Mid,Private,24979,561374.488,4.44961439
78,804,8,Mid,Private,12485,1956130.06,0.63824999
84,408,9,High,Private,15064,568471.358,2.64991363
57,416,9,High,Private,174233,3635809.09,4.79213831
20,504,9,High,Private,30798,2168674.74,1.42012997
41,531,9,High,Private,4227,369106.464,1.14519804
51,611,9,High,Private,1631,330154.925,0.4940105
16,GH,9,High,Private,6144,679112.25,0.90471053
66,413,10,High,Private,29842,706873.857,4.22168675
26,509,10,High,Private,5890,307348.61,1.91639065
