unit,site,patch_num,flr_id,flr_strp,trmt,seeds_mean,spk_count,spk_wt,spk_flr,mean_flr_dns_m2,germ_rate,seed_flr,prop_prsr_m2,yrs_spraying,phrag_marsh,prop_prsr_marsh
AGE,AGE,1,AGE1.1,0.877,High,5.7,60,0.041,1283.41,55.2,30.3972366,7315.5,403813.581,13,0.11463637,46291.7217
AGE,AGE,1,AGE1.2,1.823,High,6.3,60,0.054,2025.56,,,12761,704407.2,13,0.11463637,80750.682
AGE,AGE,1,AGE1.3,1.681,High,6.3,60,0.065,1551.69,,,9775.7,539616.517,13,0.11463637,61859.6769
AGE,AGE,1,AGE1.4,0.911,High,5.3,60,0.052,1051.15,,,5571.1,307525.569,13,0.11463637,35253.6139
AGE,AGE,1,AGE1.5,2.204,High,6.3,60,0.065,2034.46,,,12817.1,707504.345,13,0.11463637,81105.7275
AGE,AGE,2,AGE2.1,0.118,High,4.3,60,0.034,208.24,3.2,5.1214128,895.4,2865.31765,13,0.11463637,328.469605
AGE,AGE,2,AGE2.2,0.306,High,5.3,60,0.034,540,,,2862,9158.4,13,0.11463637,1049.8857
AGE,AGE,2,AGE2.3,0.178,High,4.7,60,0.036,296.67,,,1394.3,4461.86667,13,0.11463637,511.492183
AGE,AGE,2,AGE2.4,0.597,High,3.7,60,0.046,778.7,,,2881.2,9219.75652,13,0.11463637,1056.91939
AGE,AGE,2,AGE2.5,0.074,High,3.3,60,0.043,103.26,,,340.7,1090.3814,13,0.11463637,124.997362
AGE,AGE,3,AGE3.1,0.69,High,5,60,0.061,678.69,20.8,0.29795158,3393.4,70583.6066,13,0.11463637,8091.4482
AGE,AGE,3,AGE3.2,0.864,High,5.3,60,0.041,1264.39,,,6701.3,139386.381,13,0.11463637,15978.7483
AGE,AGE,3,AGE3.3,0.646,High,5.3,60,0.052,745.38,,,3950.5,82171.2,13,0.11463637,9419.80781
AGE,AGE,3,AGE3.4,0.177,High,4.3,60,0.063,168.57,,,724.9,15077.0286,13,0.11463637,1728.37578
AGE,AGE,3,AGE3.5,0.595,High,4.3,60,0.049,728.57,,,3132.9,65163.4286,13,0.11463637,7470.09869
AGE,AGE,4,AGE4.1,0.208,High,5,60,0.042,297.14,12.8,0,1485.7,19017.1429,13,0.11463637,2180.05617
AGE,AGE,4,AGE4.2,0.164,High,5,60,0.041,240,,,1200,15360,13,0.11463637,1760.81459
AGE,AGE,4,AGE4.3,0.704,High,4.7,60,0.038,1111.58,,,5224.4,66872.5895,13,0.11463637,7666.03069
AGE,AGE,4,AGE4.4,0.438,High,5,60,0.054,486.67,,,2433.3,31146.6667,13,0.11463637,3570.5407
AGE,AGE,4,AGE4.5,0.318,High,5.3,60,0.045,424,,,2247.2,28764.16,13,0.11463637,3297.41879
AGE,AGE,5,AGE5.1,0.039,High,5.7,43,0.039,43,5.1,0,245.1,1250.01,13,0.11463637,143.296605
AGE,AGE,5,AGE5.2,0.186,High,5,60,0.058,192.41,,,962.1,4906.55172,13,0.11463637,562.469262
AGE,AGE,5,AGE5.3,0.198,High,3.7,60,0.057,208.42,,,771.2,3932.90526,13,0.11463637,450.853969
AGE,AGE,5,AGE5.4,0.364,High,5,60,0.057,383.16,,,1915.8,9770.52632,13,0.11463637,1120.05764
AGE,AGE,5,AGE5.5,0.085,High,3.7,60,0.046,110.87,,,410.2,2092.1087,13,0.11463637,239.83174
CRU,CRU,1,CRU1.1,0.927,Low,4.7,60,0.054,1030,6.4,4.360587,4841,30982.4,0,0.01350826,418.51821
